,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
0,Thames International College,"Surya Bikram Gyawali Marg, Old Baneshwor, Kathmandu",Tribhuvan University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Information Management
        (BIM)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)
 Bachelor of Arts in Psychology
        (BPSy)
 Bachelor of Arts in Rural Development
        (BRD)
 Bachelor of Arts in Journalism and Mass Communication
        (BAJM)
 Bachelor of Arts in Sociology
        (BA Sociology)
 Master of Business Studies
        (MBS)
 CMAT Entrance Preparation
 BCA Entrance Preparation",private Institution,"01-4464584, 01-4465660",admissions@thamescollege.edu.np
1,Texas International College,"Mitrapark, Chabhil, Kathmandu",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Business Management
        (BBM)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",private Institution,"01-4579017, 01-4490670, 01-4488627",enquiry@texasintl.edu.np
2,King's College,"Babar Mahal, Kathmandu","Westcliff University, CA, USA","Bachelor in Business Administration
        (BBA)
 BBA Digital Marketing
 BBA Investment and Economics
 BBA Applied Arts and Design
 Bachelor of Science in Information Technology - Data Science
        (BSIT Data Science)
 Master in Business Administration
        (MBA)
 MBA Entrepreneurship
 MBA Nonprofit
 MBA Agribusiness
 MBA Technology and Innovation
 MBA Data Analytics
 Transform Your Online Teaching
 Emotional Intelligence Mindset
 Immers-ED: A Design Approach to Problem Solving",private Institution,"01-5325909 , 01-5324520 , 015324574",admissions@kingscollege.edu.np
3,Padmashree College,"Tinkune, Kathmandu",Tribhuvan University,"Bachelor of Information Technology
        (BIT)
 BA (Hons) in Business and Hospitality Management
        (BABHM)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Food Technology (BTech Food)",private Institution,"01-4112252 , 01-4112403",padmashreecollege@gmail.com
4,Janamaitri Multiple Campus,"Kuleshwor, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Education
        (BEd)
 Bachelor of Education in Information Communication Technology
        (BICTE)
 Master of Business Studies
        (MBS)
 Master of Education General
        (M.Ed)",community Institution,015377202,info@janamaitri.edu.np
5,Nepal College of Information Technology,"Balkumari, Lalitpur",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Civil Engineering
 Bachelor of Engineering in Information Technology
        (BE IT)
 Bachelor of Software Engineering
 Bachelor of Electronics and Communication Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE Computer)
 Bachelor of Computer Application
        (BCA)
 Master of Computer Information Systems
        (MCIS)
 Master of Computer Engineering
 MSc in Computer Science",private Institution,"01-5186354 , 01-5186358 , 01-5186360",info@ncit.edu.np
6,Khwopa College,"Dekocha-6, Bhaktapur",Tribhuvan University,"MSc Environmental Science
 Master of Business Studies
        (MBS)
 MA in English
        (MA English)
 MA in Economics
        (MA Economics)
 Bachelor of Business Management
        (BBM)
 BSc Environmental Science
 BSc Physics
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Arts
        (BA)",community Institution,"01-6610932 , 01- 6618031",info@khwopacollege.edu.np
7,International School of Tourism and Hotel Management (IST College),"Gyaneshwor, Opposite to German Embassy, Kathmandu",Salzburg University of Applied Sciences,"FHS Diploma in Hotel Management
        (BHM)
 FHS Diploma in Travel and Tourism Management
        (BTTM)
 10+2 Management - National Examination Board and Tourism School Salzburg
 Austria",private Institution,"01-4534350, 01-4534185",sanindra@ist.org.np
8,Certified College of Accountancy (CCA),"Thapagaun, New Baneshwor, Kathmandu",ACCA,"ACCA
        (ACCA)
 Foundations in Accountancy (FIA)
        (FIA)",private Institution,01-5245126,cca.nepal@gmail.com
9,KIST College & SS,"Kamalpokhari, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Business Administration
        (BBA)
 Bachelor of Information Management
        (BIM)
 Bachelor of Information Technology
        (BIT)
 Bachelor of Business Studies
        (BBS)
 BSc Microbiology
 Master of Business Studies
        (MBS)
 MSc Microbiology
 Master of Information Technology
        (MIT)",private Institution,"01-4534990, 01-4534178",info@kist.edu.np
10,Softwarica College of IT and E-commerce,"Dillibazar, Kathmandu","Coventry University, UK","BSc (Hons) Ethical Hacking and Cybersecurity
 BSc (Hons) Computing
 MSc Data Science and Computational Intelligence",private Institution,"01-4441577 , 01-4425661",hello@softwarica.edu.np
11,The British College,"Thapathali, Kathmandu",ACCA,"GCE A-Level Non-Science
        (A-Level Non-Science)
 GCE A-level Science
        (A-Level Science)
 ACCA
        (ACCA)
 BBA (Hons) Business and Management
 BSc (Hons) Hospitality Business Management
        (BHM)
 BSc (Hons) Cyber Security and Digital Forensics
 BSc (Hons) Computing
 BSc (Hons) Data Science
 MBA (Executive)
 MBA (Graduate)
 MSc International Business Management
        (MIBM)
 MSc Information and Technology
 MSc Advanced Computer Science",private Institution,01-5970003,info@thebritishcollege.edu.np
12,Kantipur College of Management and Information Technology,"Old Baneshwor, Kathmandu",Tribhuvan University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Information Management
        (BIM)
 Bachelor of Computer Application
        (BCA)",private Institution,01-4479939,kcmitcollege@gmail.com
13,Silver Mountain School of Hotel Management,"Lainchaur, Kathmandu","American Hospitality Academy, USA","Bachelor in International Culinary Arts
 BA in International Hospitality and Tourism Management
 Diploma in International Professional Culinary Arts
 Higher Diploma in International Culinary Arts
        (DICA)
 Bartending Course
 Wine Appreciation
 Barista Training
 Culinary (Short-term Course)
 Dining Etiquette Training
 Food Safety/Hygiene Training
 Kids Cooking
 Front Office Training
 Housekeeping Training
 Bakery Training",private Institution,"01-4415038 , 01-4444086",info@silvermountain.edu.np
14,Prime College,"Naya Bazar, Khusibu, Kathmandu",Tribhuvan University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Information Management
        (BIM)
 Bachelor of Business Management
        (BBM)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Computer Application
        (BCA)
 BSc Computer Science and Information Technology
        (BSc CSIT)
 Master of Business Studies
        (MBS)",private Institution,"01-4361690, 01-4970072",info@prime.edu.np
15,Nepal Mega College,"Babarmahal, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Law
        (+2 Law)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)
 Master of Business Studies
        (MBS)
 MA in Rural Development
        (MRD)",private Institution,"01-5705488 , 01-5706450",info@nepalmegacollege.edu.np
16,Lalitpur Engineering College,"Chakupat, Patan Dhoka, Patan, Lalitpur",Tribhuvan University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Computer Engineering
        (BE)
 Bachelor of Computer Application
        (BCA)",private Institution,"01-5260216 , 01-5260215",info@lec.edu.np
17,People's Campus,"Paknajol, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Administration
        (BBA)
 Bachelor of Business Management
        (BBM)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",community Institution,"01-4251412 , 01-4251990",info@peoplescampus.edu.np
18,Quest International College,"Gwarko, Lalitpur",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Hotel Management
        (BHM)
 Master of Business Administration
        (MBA)",private Institution,"01-5421950, 01-5547669",info@quest.edu.np
19,Kathmandu Forestry College,"Koteshwor, Kathmandu",Tribhuvan University,"BSc Forestry
 MSc in Natural Resource Management and Rural Development
 MSc in Geographical Information Science and Systems
 Diploma in Forestry",private Institution,01-5147211,mail@kafcol.edu.np
20,SAIM College,"Old Baneswor Chowk, Kathmandu",Pokhara University,"Bachelor of Business Administration
        (BBA)
 MBA (Global Business)",private Institution,01-4574747,info@saim.edu.np
21,Nepal College of Management,"Dhobighat, Lalitpur",Kathmandu University,"Bachelor in Hospitality Management
        (BHM)
 Bachelor of Business Administration
        (BBA)",private Institution,"01-5188353 , 01-5188364 , 01-5188274",info@ncm.edu.np
22,"St. Xavier's College, Maitighar","Maitighar, Kathmandu",National Examinations Board,"Bachelor of Information Management
        (BIM)
 BSc Computer Science and Information Technology
        (BSc CSIT)
 BSc Microbiology
 BSc Physics
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)
 MSc Physics
 MSc Microbiology
 GCE A-level Science
        (A-Level Science)
 GCE A-Level Non-Science
        (A-Level Non-Science)
 Ten Plus Two (+2) Science
        (+2 Science)
 Bachelor of Arts in Major English
        (BA Major English)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Arts in Psychology
        (BPSy)
 Bachelor of Arts in Journalism and Mass Communication
        (BAJM)",private Institution,"01-4221365 , 01-4244636",ktm@sxc.edu.np
23,Public Youth Campus,"Dhobichaur, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Business Administration
        (BBA)
 Bachelor in Travel and Tourism Management
        (BTTM)
 Bachelor of Business Management
        (BBM)
 Master of Business Studies
        (MBS)
 Master of Business Management
        (MBM)
 Master of Travel and Tourism Management
        (MTTM)",constituent Institution,"977-1-4251025, 4251207",info@pyc.edu.np
24,Samarpan Academy Institute of Crisis Management Studies,"Dhumbarahi -4, Kathmandu",Tribhuvan University,"Master in Crisis Management Studies
        (MCMS)
 Masters in Counseling Psychology
        (MCP)
 Bachelor of Computer Application
        (BCA)",private Institution,"01-4008181, 01-4008182",info@tuicms.edu.np
25,Uniglobe College,"New Baneshwor, Kathmandu",Pokhara University,"Bachelor of Business Administration
        (BBA)
 BBA in Banking and Insurance
        (BBA-BI)
 MBA Finance
        (MBA)
 Master of Business Administration
        (MBA)",private Institution,"01-4115690 , 01-4115569  , 01-4115508",mail@uniglobe.edu.np
26,"Janakpur Engineering College, Kupondole","Kupondole, Lalitpur, Lalitpur",Tribhuvan University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Electronics
 Communication and Information Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE)",private Institution,01-5435822,info@jec.edu.np
27,Excel Business College,"Lakhechaur Marg, New Baneshwor, Kathmandu",Pokhara University,"Bachelor of Business Administration
        (BBA)
 BBA in Banking and Insurance
        (BBA-BI)
 Master of Business Administration
        (MBA)",private Institution,"01- 4485109 , 01-4462170",info@excelcollege.edu.np
28,KFA Business School,"Mid Baneshwor, Kathmandu",Lincoln University College,"Master of Business Administration
        (MBA)
 BSc Hons. in Hospitality Management
        (BHM)
 Bachelor of Computer Science (Hons) Network Technology & Cyber Security
        (BCS)",private Institution,01-4491414,info@kfaltd.com
29,"Institute of Advanced Communication, Education, and  Research","Thapagaon Road, New Baneshwor, Kathmandu",Pokhara University,"MPhil in English
 MA in English",private Institution,"01-4567528, 01-4571915",info@iacer.edu.np
30,GoldenGate International College,"Battisputali, Old Baneshwor, Kathmandu",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Business Management
        (BBM)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Hotel Management
        (BHM)
 Bachelor of Food Technology (BTech Food)
 BSc Physics
 BSc Microbiology
 BSc Environmental Science
 MSc Physics
 MSc Microbiology
 MSc Environmental Science
 Master of Business Studies
        (MBS)
 MA in English
        (MA English)
 MA in Economics
        (MA Economics)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Management
        (+2 Mangement)",private Institution,"01-4477082 , 01-4495165",info@goldengate.edu.np
31,Kathmandu College of Management,"Gwarko, Lalitpur","SIAM University, Thailand","BBA Finance and Banking
 BBA Marketing",private Institution,"01-5201997 , 01-5200746 , 01-5201434",kcm@kcm.edu.np
32,Karnali College of Health Sciences,"Gaushala, Kathmandu",Purbanchal University,"Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Public Health
        (BPH)",private Institution,014570906. 014570205,info@karnalicollege.edu.np
33,College of  Biomedical Engineering and Applied Sciences,"Bishalnagar, Kathmandu",Purbanchal University,Bachelor of Engineering in Biomedical Engineering,private Institution,"01-4541467 , 01-4537822",info@biomedical.edu.np
34,Cosmos College of Management and Technology,"Tutepani, Near Satdobato, Lalitpur",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Electronics and Communication Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE Computer)
 Bachelor of Engineering in Information Technology
        (BE IT)
 Bachelor of Civil Engineering
 Bachelor of Architecture
        (B.Arch)",private Institution,"01-5151411 , 01-5151704",info@cosmoscollege.edu.np
35,Himalayan Institute of Science and Technology,"New Baneshwor, Kathmandu",Purbanchal University,"Bachelor of Civil Engineering
        (BE Civil)
 MSc in Engineering Management
 MSc in Information System Engineering",private Institution,"01-4784951 , 01-4784954 , 01-4112086",info@hist.edu.np
36,Mid-Valley International College,"Gyaneshwor, Kathmandu",HELP University,"Bachelor of Business in Hospitality Management (Hons)
        (BHM)
 Bachelor of Business Finance (Hons)
        (BBA-F)
 Bachelor of Information Technology (Hons)
        (BIT)
 Professional Diploma in Hotel Management
 Pre-Diploma in Hotel Management",private Institution,"01-4435188 , 01-4537188",info@midvalley.edu.np
37,AITM College,"Knowledge Village, Khumaltar Heights, Mahalaxmi, Lalitpur",National Examinations Board,"Bachelor in International Hotel and Tourism Management
 BSc (Hons) Computing and Information Technology
        (BSc CIT)
 International Masters of Business Administration
        (MBA)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)",private Institution,"9849449503 , 9818414682",enquiries@aitm.edu.np
38,NCA College of Management,"Anup Marga, Minbhawan New Baneshwor, Kathmandu",Tribhuvan University,"ACCA
        (ACCA)
 Bachelor of Business Studies
        (BBS)",private Institution,01-4790241,admin@nca.edu.np
39,Swastik College,"Madhyapur Thimi -3, Chardobato, Madhyapur Thimi, Bhaktapur",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Computer Application
        (BCA)",private Institution,01-6635174,contact@swastikcollege.edu.np
40,Koteshwor Multiple Campus,"Mahadevsthan, Koteshwor, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",community Institution,"01-4155145, 01-4155266",info@koteshworcampus.edu.np
41,Seed Financial Academy,"Dillibazar, Kathmandu",​Oxford Brookes University,"BSc (Hons) in Applied Accounting
        (B.Sc (Hons))
 Foundations in Accountancy (FIA)
        (FIA)
 Diploma in International Financial Reporting Standards
        (DipIFR)
 ACCA
        (ACCA)",private Institution,01-4410113,info@seedfinancial.edu.np
42,United College,"Kumaripati, Lalitpur",Tribhuvan University,"Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)
 Bachelor of Business Studies
        (BBS)
 Master of Business Studies
        (MBS)",private Institution,"01-5537527, 01-5537530, 01-5538938",ucollege@united.edu.np
43,Pascal National College,"Saatdobato, Lalitpur",Tribhuvan University,"Bachelor of Computer Application
        (BCA)",private Institution,01-5916910,info@pascalcollege.edu.np
44,Kathmandu BernHardt College,"Bafal, Kalanki, Kathmandu",Tribhuvan University,"BSc Computer Science and Information Technology
        (BSc CSIT)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts in Social Work
        (BASW)
 Bachelor of Computer Application
        (BCA)
 Bachelor of Business Management
        (BBM)
 Master of Business Studies
        (MBS)",private Institution,"01-5237330 , 01-5237361",ktmbernhardt@kbc.edu.np
45,Lumbini Banijya Campus,"Devinagar, Butwal, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 BBA - Finance and Accountancy
        (BBA-FA)
 Bachelor of Management Studies
        (BMS)
 Bachelor of Business Management-Applied
        (BBM Applied)
 Master of Business Studies
        (MBS)
 ​MBA-Banking and Finance
        (MBA-BF)
 MBS in Finance
        (MBS-F)",community Institution,071-410500,info@lbc.edu.np
46,Counseling Psychology and Social Studies College,"Buddhanagar, Kathmandu",Tribhuvan University,"Post Graduate Diploma in Counseling Psychology
 Six Months Training on Psycho-social Counseling",private Institution,"01-5905385 , 01-4782285 , 9843919935 , 9849422222",cpssc2006@gmail.com
47,Liberty College,"Pragati Marg-2, Anamnagar, Kathmandu",Pokhara University,"Bachelor of Business Administration
        (BBA)
 Bachelor of Hotel Management
        (BHM)",private Institution,"01-5706612, 01-5705386",info@libertycollege.edu.np
48,Central Department of Nepali | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Nepali
        (MA Nepali)
 MPhil in Nepali
 PhD in Nepali",constituent Institution,01-4331132,
49,Central Department of Hindi | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Hindi
        (MA Hindi)",constituent Institution,,
50,Lalitkala Campus,"Bhotahiti, Kathmandu",Tribhuvan University,"Bachelor of Fine Arts
        (BFA)
 MA in Music
        (MA Music)",constituent Institution,01-4249681,
51,Mahendra Bindeshwori Multiple Campus,"Rajbiraj, Bishnupur, Saptari",Tribhuvan University,"MA in Economics
        (MA Economics)
 Bachelor of Laws
        (LLB)
 Master of Business Studies
        (MBS)",constituent Institution,,
52,Jumla Multiple Campus,"Chandannath, Jumla",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",constituent Institution,977-87-520046,
53,Mahendra Ratna Campus,"Tahachal, Kathmandu",Tribhuvan University,"Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Bachelor of Education in Information Communication Technology
        (BICTE)
 Post Graduate Diploma in Social Studies
 MEd in Science Education
 Post Graduate Diploma in Mathematics Education",constituent Institution,"01-4271709, 01-4271728",
54,Central Department of Psychology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Psychology
        (MA Psychology)
 Post Graduate Diploma in School Counselling
        (PGDSC)",constituent Institution,01-4332539,info@psychologytu.edu.np
55,Purbanchal University School of Health Sciences,"Gothgaun, Sundarharaicha, Morang",Purbanchal University,"BSc Nursing
 Master of Public Health
        (MPH)
 Bachelor of Pharmacy
        (B Pharm)
 Bachelor of Public Health
        (BPH)
 Post Basic Bachelor in Nursing
        (BNS)
 Master in Pharmacy (Clinical Pharmacy)",constituent Institution,021-425007,pucmas@purbuniv.edu.np
56,Gorkha Campus,"Gorkha, Gorkha",Tribhuvan University,"Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Bachelor of Science (General)
        (BSc)
 Bachelor of Education in Information Communication Technology
        (BICTE)",constituent Institution,977-64-420233,
57,Central Department of Fine Arts | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"Master of Fine Arts
        (MFA)",constituent Institution,,
58,Central Department of Linguistics | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Linguistics
        (MA linguistics)",constituent Institution,977-1-4330696,cdltu2012@gmail.com
59,Hetauda Campus,"Hetauda, Makwanpur",Tribhuvan University,"Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)",constituent Institution,"057-520453, 520865",
60,Bhojpur Multiple Campus,Bhojpur,Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 MEd Nepali Language Education
 MEd Education Planning and Management",constituent Institution,977-29420106,bhojpurmc@gmail.com
61,Central Department of Management | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"Master of Business Studies
        (MBS)
 MPhil in Management
 MBA in Finance
        (MBA - F)
 MBA in Marketing
        (MBA-M)
 MBA in Corporate Leadership
        (MBA-CL)
 Master of Business Management
        (MBM)",constituent Institution,"01-4330847, 01-4332977",info@cdm.tu.edu.np
62,Paklihawa Campus,"Bhairahawa, Siddharthanagar, Rupandehi",Tribhuvan University,"BSc Agriculture
 Bachelor of Veterinary Science and Animal Husbandry
        (BVSc&AH)",constituent Institution,"071-520191, 071-520580",
63,Purwanchal Campus | Institute of Engineering,"Dharan, Sunsari",Tribhuvan University,"Bachelor of Civil Engineering
        (BE Civil)
 Bachelor of Agriculture Engineering
        (BE)
 Bachelor of Computer Engineering
        (BE)
 Bachelor of Electronics
 Communication and Information Engineering
        (BE)
 Bachelor of Mechanical Engineering
        (BE)
 Bachelor of Electrical Engineering
        (BE)
 Bachelor of Architecture
        (B.Arch)
 MSc in Land and Water Engineering
 MSc in Sanitation Engineering",constituent Institution,"025-526304, 025-526305, 025-520120",ioepcdharan@gmail.com
64,Central Department of Microbiology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Microbiology
 PhD in Microbiology",constituent Institution,"01-4331869, 01-4330664",cdm1990@microbiotu.edu.np
65,Central Department of Botany | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc in Biodiversity and Environmental Management
 PhD in Botany
 MSc in Botany",constituent Institution,"977 -1-4331322, 4333515",info@cdbtu.org.np
66,Central Department of Computer Science and Information Technology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Computer Science and Information Technology
        (MSc CSIT)
 Master of Information Technology
        (MIT)",constituent Institution,"977-1-4333010 (Head), 977-1-4332619 (Office)",info@cdcsit.edu.np
67,Central Department of English | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in English
        (MA English)
 MPhil in English
 PhD in English",constituent Institution,01-4331851,info@cdetu.edu.np
68,Central Department of Environmental Science | Tribhuvan University,"Kirtipur, Kirtipur, Kathmandu",Tribhuvan University,"MSc Environmental Science
 PhD in Environmental Science
 MSc  in Environmental Health in Disaster",constituent Institution,"977 -1-4332147, 4332711",info@cdes.edu.np
69,Central Department of Rural Development | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Rural Development
        (MRD)
 PhD in Rural Development
        (PhD in RD)",constituent Institution,01-4331383,contact@cdrd.edu.np
70,Central Department of Political Science | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Political Science
        (MA Political Science)
 PhD in Political Science",constituent Institution,01-4333200,info@cdpstu.edu.np
71,Central Department of Physics | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Physics
 PhD in Physics",constituent Institution,"01-4331054,01-4330469",
72,Central Department of Zoology | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Zoology
 PhD in Zoology",constituent Institution,977-1-4331896,info@cdztu.edu.np
73,Central Department of International Relations and Diplomacy | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in International Relations and Diplomacy
        (MIRD)",constituent Institution,014781219,admin@mird.edu.np
74,Central Department of Hydrology and Meteorology - Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Meteorology
 PhD in Hydrology and Meteorology",constituent Institution,"01-4331418,01-4333887",
75,Central Department of Economics | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MA in Economics
        (MA Economics)
 MPhil in Economics
 PhD in Economics",constituent Institution,977-1-433-0950 / 433-3616,cedecon@mail.com.np
76,Central Department of Chemistry | Tribhuvan University,"Kirtipur, Kathmandu",Tribhuvan University,"MSc Chemistry
 PhD in Chemistry",constituent Institution,01-4332034,info@cdctu.edu.np
77,Ayurveda Campus,"Kirtipur, Kathmandu",Tribhuvan University,"MD Ayurveda (Kayachikitsa)
 Bachelor of Ayurvedic Medicine and Surgery
        (BAMS)",constituent Institution,01-4332562,info@ayurvedacampus.edu.np
